ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-12T14:47:38.742Z hisSize:56483 tz:"Bucharest" precision:1 roomRef:@p:linkEdge:r:2d996b7e-192811d1 "Site B Room 4 Living" lorawanPoint maxVal:100 his minVal:0 humidity id:@p:linkEdge:r:2d997a3d-1687e50e "Site B Room 4 Living AQ Humidity" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T03:00:00+02:00 Bucharest innLinkEdge kind:"Number" unit:"%RH" sensor cur amSensorRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" curStatus:"ok" point curVal:38%RH disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d997a3d-8ce770dd "4 Living AQ" navName:"Humidity" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:0.1 lorawanCur:"humidity" floorRef:@p:linkEdge:r:2d996b5e-526d9983 "p:linkEdge:r:2d996b5e-526d9983" amSensorAM307ModelId:"_amSensorAM307_point:humidity"
2025-01-03T01:17:50+02:00 Bucharest,36%RH
2025-01-03T01:30:00+02:00 Bucharest,36%RH
2025-01-03T01:45:00+02:00 Bucharest,36%RH
2025-01-03T02:00:00+02:00 Bucharest,36%RH
2025-01-03T02:07:49+02:00 Bucharest,35.5%RH
2025-01-03T02:15:00+02:00 Bucharest,35.5%RH
2025-01-03T02:30:00+02:00 Bucharest,35.5%RH
2025-01-03T02:45:00+02:00 Bucharest,35.5%RH
2025-01-03T03:00:00+02:00 Bucharest,35.5%RH
2025-01-03T03:07:55+02:00 Bucharest,35%RH
2025-01-03T03:15:00+02:00 Bucharest,35%RH
2025-01-03T03:30:00+02:00 Bucharest,35%RH
2025-01-03T03:37:47+02:00 Bucharest,34.5%RH
2025-01-03T03:45:00+02:00 Bucharest,34.5%RH
2025-01-03T04:00:00+02:00 Bucharest,34.5%RH
2025-01-03T04:15:00+02:00 Bucharest,34.5%RH
2025-01-03T04:30:00+02:00 Bucharest,34.5%RH
2025-01-03T04:45:00+02:00 Bucharest,34.5%RH
2025-01-03T04:57:46+02:00 Bucharest,35%RH
2025-01-03T05:00:00+02:00 Bucharest,35%RH
2025-01-03T05:15:00+02:00 Bucharest,35%RH
2025-01-03T05:30:00+02:00 Bucharest,35%RH
2025-01-03T05:45:00+02:00 Bucharest,35%RH
2025-01-03T06:00:00+02:00 Bucharest,35%RH
2025-01-03T06:15:00+02:00 Bucharest,35%RH
2025-01-03T06:30:00+02:00 Bucharest,35%RH
2025-01-03T06:45:00+02:00 Bucharest,35%RH
2025-01-03T07:00:00+02:00 Bucharest,35%RH
2025-01-03T07:15:00+02:00 Bucharest,35%RH
2025-01-03T07:27:43+02:00 Bucharest,34.5%RH
2025-01-03T07:30:00+02:00 Bucharest,34.5%RH
2025-01-03T07:45:00+02:00 Bucharest,34.5%RH
2025-01-03T08:00:00+02:00 Bucharest,34.5%RH
2025-01-03T08:15:00+02:00 Bucharest,34.5%RH
2025-01-03T08:27:42+02:00 Bucharest,34%RH
2025-01-03T08:30:00+02:00 Bucharest,34%RH
2025-01-03T08:45:00+02:00 Bucharest,34%RH
2025-01-03T09:00:00+02:00 Bucharest,34%RH
2025-01-03T09:15:00+02:00 Bucharest,34%RH
2025-01-03T09:27:41+02:00 Bucharest,33.5%RH
2025-01-03T09:30:00+02:00 Bucharest,33.5%RH
2025-01-03T09:45:00+02:00 Bucharest,33.5%RH
2025-01-03T10:00:00+02:00 Bucharest,33.5%RH
2025-01-03T10:15:00+02:00 Bucharest,33.5%RH
2025-01-03T10:30:00+02:00 Bucharest,33.5%RH
2025-01-03T10:45:00+02:00 Bucharest,33.5%RH
2025-01-03T11:00:00+02:00 Bucharest,33.5%RH
