ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-15T07:43:31.149Z hisSize:52740 tz:"Bucharest" precision:1 roomRef:@p:linkEdge:r:2d996b84-7f20b3bf "Site B Room 1 Office" lorawanPoint his id:@p:linkEdge:r:2d9972a1-28df3602 "Site B Room 1 Office AQ Temperature" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T02:48:15+02:00 Bucharest innLinkEdge kind:"Number" unit:"°C" amSensorAM319ModelId:"_amSensorAM319_point:temperature" sensor cur amSensorRef:@p:linkEdge:r:2d9972a1-07d784a7 "Site B Room 1 Office AQ" curStatus:"ok" point curVal:26.5°C disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9972a1-53363459 "1 Office AQ" navName:"Temperature" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9972a1-07d784a7 "Site B Room 1 Office AQ" temp hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:0.1 lorawanCur:"temperature" floorRef:@p:linkEdge:r:2d996b5e-526d9983 "p:linkEdge:r:2d996b5e-526d9983"
2025-01-02T18:11:45+02:00 Bucharest,24°C
2025-01-02T18:15:00+02:00 Bucharest,24°C
2025-01-02T18:30:00+02:00 Bucharest,24°C
2025-01-02T18:45:00+02:00 Bucharest,24°C
2025-01-02T19:00:00+02:00 Bucharest,24°C
2025-01-02T19:15:00+02:00 Bucharest,24°C
2025-01-02T19:26:45+02:00 Bucharest,23.899999618530273°C
2025-01-02T19:30:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T19:45:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T20:00:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T20:15:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T20:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T20:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T21:00:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T21:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T21:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T21:41:45+02:00 Bucharest,23.700000762939453°C
2025-01-02T21:45:00+02:00 Bucharest,23.700000762939453°C
2025-01-02T22:00:00+02:00 Bucharest,23.700000762939453°C
2025-01-02T22:15:00+02:00 Bucharest,23.600000381469727°C
2025-01-02T22:30:00+02:00 Bucharest,23.600000381469727°C
2025-01-02T22:45:00+02:00 Bucharest,23.600000381469727°C
2025-01-02T22:51:45+02:00 Bucharest,23.5°C
2025-01-02T23:00:00+02:00 Bucharest,23.5°C
2025-01-02T23:15:00+02:00 Bucharest,23.5°C
2025-01-02T23:30:00+02:00 Bucharest,23.5°C
2025-01-02T23:45:00+02:00 Bucharest,23.5°C
2025-01-02T23:46:45+02:00 Bucharest,23.399999618530273°C
2025-01-03T00:00:00+02:00 Bucharest,23.399999618530273°C
2025-01-03T00:15:00+02:00 Bucharest,23.399999618530273°C
2025-01-03T00:30:00+02:00 Bucharest,23.299999237060547°C
2025-01-03T00:45:00+02:00 Bucharest,23.299999237060547°C
2025-01-03T01:00:00+02:00 Bucharest,23.299999237060547°C
2025-01-03T01:15:00+02:00 Bucharest,23.399999618530273°C
2025-01-03T01:21:45+02:00 Bucharest,23.5°C
2025-01-03T01:30:00+02:00 Bucharest,23.5°C
2025-01-03T01:36:45+02:00 Bucharest,23.600000381469727°C
2025-01-03T01:45:00+02:00 Bucharest,23.600000381469727°C
2025-01-03T02:00:00+02:00 Bucharest,23.600000381469727°C
2025-01-03T02:15:00+02:00 Bucharest,23.700000762939453°C
2025-01-03T02:26:45+02:00 Bucharest,23.799999237060547°C
2025-01-03T02:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T02:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T03:00:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T03:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T03:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T03:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T04:00:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T04:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T04:21:45+02:00 Bucharest,23.700000762939453°C
2025-01-03T04:30:00+02:00 Bucharest,23.700000762939453°C
2025-01-03T04:45:00+02:00 Bucharest,23.700000762939453°C
2025-01-03T05:00:00+02:00 Bucharest,23.600000381469727°C
2025-01-03T05:15:00+02:00 Bucharest,23.600000381469727°C
2025-01-03T05:30:00+02:00 Bucharest,23.600000381469727°C
2025-01-03T05:36:45+02:00 Bucharest,23.5°C
2025-01-03T05:45:00+02:00 Bucharest,23.5°C
2025-01-03T06:00:00+02:00 Bucharest,23.5°C
2025-01-03T06:15:00+02:00 Bucharest,23.5°C
2025-01-03T06:30:00+02:00 Bucharest,23.5°C
2025-01-03T06:41:45+02:00 Bucharest,23.399999618530273°C
2025-01-03T06:45:00+02:00 Bucharest,23.399999618530273°C
2025-01-03T07:00:00+02:00 Bucharest,23.399999618530273°C
2025-01-03T07:15:00+02:00 Bucharest,23.399999618530273°C
2025-01-03T07:30:00+02:00 Bucharest,23.399999618530273°C
2025-01-03T07:36:45+02:00 Bucharest,23.5°C
2025-01-03T07:45:00+02:00 Bucharest,23.5°C
2025-01-03T07:56:45+02:00 Bucharest,23.600000381469727°C
2025-01-03T08:00:00+02:00 Bucharest,23.600000381469727°C
2025-01-03T08:15:00+02:00 Bucharest,23.700000762939453°C
2025-01-03T08:21:45+02:00 Bucharest,23.799999237060547°C
2025-01-03T08:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T08:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T09:00:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T09:15:00+02:00 Bucharest,23.899999618530273°C
2025-01-03T09:30:00+02:00 Bucharest,23.899999618530273°C
2025-01-03T09:45:00+02:00 Bucharest,23.899999618530273°C
2025-01-03T10:00:00+02:00 Bucharest,23.899999618530273°C
2025-01-03T10:15:00+02:00 Bucharest,23.899999618530273°C
2025-01-03T10:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T10:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T11:00:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T11:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T11:30:00+02:00 Bucharest,23.899999618530273°C
2025-01-03T11:31:45+02:00 Bucharest,24°C
2025-01-03T11:45:00+02:00 Bucharest,24°C
2025-01-03T11:51:45+02:00 Bucharest,24.299999237060547°C
2025-01-03T12:00:00+02:00 Bucharest,24.299999237060547°C
2025-01-03T12:15:00+02:00 Bucharest,24.299999237060547°C
2025-01-03T12:16:45+02:00 Bucharest,24.600000381469727°C
2025-01-03T12:30:00+02:00 Bucharest,24.600000381469727°C
2025-01-03T12:31:45+02:00 Bucharest,24.799999237060547°C
2025-01-03T12:45:00+02:00 Bucharest,24.799999237060547°C
2025-01-03T13:00:00+02:00 Bucharest,24.799999237060547°C
2025-01-03T13:11:45+02:00 Bucharest,25°C
2025-01-03T13:15:00+02:00 Bucharest,25°C
2025-01-03T13:16:45+02:00 Bucharest,25.100000381469727°C
2025-01-03T13:30:00+02:00 Bucharest,25.100000381469727°C
2025-01-03T13:45:00+02:00 Bucharest,25.200000762939453°C
2025-01-03T14:00:00+02:00 Bucharest,25.200000762939453°C
2025-01-03T14:15:00+02:00 Bucharest,25.200000762939453°C
2025-01-03T14:30:00+02:00 Bucharest,25.200000762939453°C
2025-01-03T14:45:00+02:00 Bucharest,25.100000381469727°C
2025-01-03T15:00:00+02:00 Bucharest,25.100000381469727°C
2025-01-03T15:15:00+02:00 Bucharest,25.100000381469727°C
2025-01-03T15:30:00+02:00 Bucharest,25.100000381469727°C
