ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 cur amSensorRef:@p:linkEdge:r:2d9ab1c2-a2fb47fa "Site B Room 3 AQ" mod:2024-04-12T14:43:06.716Z hisSize:85916 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b95-ed5a18fd "Site B Room 3" co2 lorawanPoint curStatus:"ok" amSensorAM107ModelId:"_amSensorAM107_point:co2" point his curVal:1694ppm disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9ab1c2-71da2caa "3 AQ" navName:"CO2" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9ab1c2-a2fb47fa "Site B Room 3 AQ" id:@p:linkEdge:r:2d9ab1c2-02560fee "Site B Room 3 AQ CO2" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T02:55:19+02:00 Bucharest hisStatus:"ok" innLinkEdge kind:"Number" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:1 lorawanCur:"co2" unit:"ppm" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba" sensor
2025-01-02T06:09:49+02:00 Bucharest,1693ppm
2025-01-02T06:15:00+02:00 Bucharest,1693ppm
2025-01-02T06:19:49+02:00 Bucharest,1574ppm
2025-01-02T06:29:49+02:00 Bucharest,1512ppm
2025-01-02T06:30:00+02:00 Bucharest,1512ppm
2025-01-02T06:45:00+02:00 Bucharest,1512ppm
2025-01-02T06:49:49+02:00 Bucharest,1497ppm
2025-01-02T07:00:00+02:00 Bucharest,1497ppm
2025-01-02T07:15:00+02:00 Bucharest,1497ppm
2025-01-02T07:30:00+02:00 Bucharest,1497ppm
2025-01-02T07:39:49+02:00 Bucharest,1657ppm
2025-01-02T07:45:00+02:00 Bucharest,1657ppm
2025-01-02T07:49:49+02:00 Bucharest,1670ppm
2025-01-02T08:00:00+02:00 Bucharest,1670ppm
2025-01-02T08:15:00+02:00 Bucharest,1670ppm
2025-01-02T08:29:49+02:00 Bucharest,1650ppm
2025-01-02T08:30:00+02:00 Bucharest,1650ppm
2025-01-02T08:39:49+02:00 Bucharest,1620ppm
2025-01-02T08:45:00+02:00 Bucharest,1620ppm
2025-01-02T08:50:01+02:00 Bucharest,1615ppm
2025-01-02T08:59:49+02:00 Bucharest,1611ppm
2025-01-02T09:00:00+02:00 Bucharest,1611ppm
2025-01-02T09:09:49+02:00 Bucharest,1622ppm
2025-01-02T09:15:00+02:00 Bucharest,1622ppm
2025-01-02T09:30:00+02:00 Bucharest,1622ppm
2025-01-02T09:39:49+02:00 Bucharest,1647ppm
2025-01-02T09:45:00+02:00 Bucharest,1647ppm
2025-01-02T09:49:49+02:00 Bucharest,1537ppm
2025-01-02T10:00:00+02:00 Bucharest,1537ppm
2025-01-02T10:15:00+02:00 Bucharest,1537ppm
2025-01-02T10:29:49+02:00 Bucharest,1575ppm
2025-01-02T10:30:00+02:00 Bucharest,1575ppm
2025-01-02T10:39:49+02:00 Bucharest,1588ppm
2025-01-02T10:45:00+02:00 Bucharest,1588ppm
2025-01-02T10:59:49+02:00 Bucharest,1594ppm
2025-01-02T11:00:00+02:00 Bucharest,1594ppm
2025-01-02T11:09:49+02:00 Bucharest,1599ppm
2025-01-02T11:15:00+02:00 Bucharest,1599ppm
2025-01-02T11:29:49+02:00 Bucharest,1585ppm
2025-01-02T11:30:00+02:00 Bucharest,1585ppm
2025-01-02T11:39:49+02:00 Bucharest,1597ppm
2025-01-02T11:45:00+02:00 Bucharest,1597ppm
2025-01-02T12:00:00+02:00 Bucharest,1597ppm
2025-01-02T12:01:00+02:00 Bucharest,1589ppm
2025-01-02T12:10:01+02:00 Bucharest,1612ppm
2025-01-02T12:15:00+02:00 Bucharest,1612ppm
2025-01-02T12:30:00+02:00 Bucharest,1612ppm
2025-01-02T12:45:00+02:00 Bucharest,1612ppm
2025-01-02T12:49:50+02:00 Bucharest,1715ppm
2025-01-02T12:59:49+02:00 Bucharest,1732ppm
2025-01-02T13:00:00+02:00 Bucharest,1732ppm
2025-01-02T13:09:49+02:00 Bucharest,1699ppm
2025-01-02T13:15:00+02:00 Bucharest,1699ppm
2025-01-02T13:19:49+02:00 Bucharest,1691ppm
2025-01-02T13:29:49+02:00 Bucharest,1672ppm
2025-01-02T13:30:00+02:00 Bucharest,1672ppm
2025-01-02T13:45:00+02:00 Bucharest,1672ppm
2025-01-02T13:50:01+02:00 Bucharest,1675ppm
2025-01-02T14:00:00+02:00 Bucharest,1675ppm
2025-01-02T14:15:00+02:00 Bucharest,1675ppm
2025-01-02T14:30:00+02:00 Bucharest,1675ppm
2025-01-02T14:39:49+02:00 Bucharest,1812ppm
2025-01-02T14:45:00+02:00 Bucharest,1812ppm
2025-01-02T14:59:49+02:00 Bucharest,1576ppm
2025-01-02T15:00:00+02:00 Bucharest,1576ppm
2025-01-02T15:09:49+02:00 Bucharest,1477ppm
2025-01-02T15:15:00+02:00 Bucharest,1477ppm
2025-01-02T15:19:49+02:00 Bucharest,1357ppm
2025-01-02T15:29:49+02:00 Bucharest,1257ppm
2025-01-02T15:30:00+02:00 Bucharest,1257ppm
2025-01-02T15:39:50+02:00 Bucharest,1166ppm
2025-01-02T15:45:00+02:00 Bucharest,1166ppm
2025-01-02T15:49:49+02:00 Bucharest,1095ppm
2025-01-02T15:59:49+02:00 Bucharest,1028ppm
2025-01-02T16:00:00+02:00 Bucharest,1028ppm
2025-01-02T16:15:00+02:00 Bucharest,1028ppm
2025-01-02T16:19:49+02:00 Bucharest,945ppm
2025-01-02T16:30:00+02:00 Bucharest,945ppm
2025-01-02T16:45:00+02:00 Bucharest,945ppm
2025-01-02T16:49:50+02:00 Bucharest,887ppm
2025-01-02T16:59:49+02:00 Bucharest,871ppm
2025-01-02T17:00:00+02:00 Bucharest,871ppm
2025-01-02T17:15:00+02:00 Bucharest,871ppm
2025-01-02T17:29:49+02:00 Bucharest,862ppm
2025-01-02T17:30:00+02:00 Bucharest,862ppm
2025-01-02T17:39:49+02:00 Bucharest,855ppm
2025-01-02T17:45:00+02:00 Bucharest,855ppm
2025-01-02T17:49:49+02:00 Bucharest,854ppm
2025-01-02T18:00:00+02:00 Bucharest,854ppm
2025-01-02T18:09:49+02:00 Bucharest,850ppm
2025-01-02T18:15:00+02:00 Bucharest,850ppm
2025-01-02T18:19:49+02:00 Bucharest,844ppm
2025-01-02T18:30:00+02:00 Bucharest,844ppm
2025-01-02T18:39:49+02:00 Bucharest,852ppm
2025-01-02T18:45:00+02:00 Bucharest,852ppm
2025-01-02T19:00:00+02:00 Bucharest,852ppm
2025-01-02T19:10:02+02:00 Bucharest,846ppm
2025-01-02T19:15:00+02:00 Bucharest,846ppm
2025-01-02T19:19:49+02:00 Bucharest,863ppm
2025-01-02T19:30:00+02:00 Bucharest,863ppm
2025-01-02T19:45:00+02:00 Bucharest,863ppm
2025-01-02T19:49:49+02:00 Bucharest,872ppm
2025-01-02T20:00:00+02:00 Bucharest,872ppm
2025-01-02T20:09:49+02:00 Bucharest,873ppm
2025-01-02T20:15:00+02:00 Bucharest,873ppm
2025-01-02T20:19:49+02:00 Bucharest,874ppm
2025-01-02T20:29:49+02:00 Bucharest,885ppm
2025-01-02T20:30:00+02:00 Bucharest,885ppm
2025-01-02T20:45:00+02:00 Bucharest,885ppm
2025-01-02T20:49:50+02:00 Bucharest,890ppm
2025-01-02T20:59:49+02:00 Bucharest,895ppm
2025-01-02T21:00:00+02:00 Bucharest,895ppm
2025-01-02T21:15:00+02:00 Bucharest,895ppm
2025-01-02T21:30:00+02:00 Bucharest,895ppm
2025-01-02T21:39:49+02:00 Bucharest,898ppm
2025-01-02T21:45:00+02:00 Bucharest,898ppm
2025-01-02T22:00:00+02:00 Bucharest,898ppm
2025-01-02T22:10:02+02:00 Bucharest,908ppm
2025-01-02T22:15:00+02:00 Bucharest,908ppm
2025-01-02T22:30:00+02:00 Bucharest,908ppm
2025-01-02T22:39:49+02:00 Bucharest,914ppm
2025-01-02T22:45:00+02:00 Bucharest,914ppm
2025-01-02T22:49:49+02:00 Bucharest,925ppm
2025-01-02T23:00:00+02:00 Bucharest,925ppm
2025-01-02T23:15:00+02:00 Bucharest,925ppm
2025-01-02T23:19:49+02:00 Bucharest,1246ppm
2025-01-02T23:30:00+02:00 Bucharest,1246ppm
2025-01-02T23:39:50+02:00 Bucharest,1385ppm
2025-01-02T23:45:00+02:00 Bucharest,1385ppm
2025-01-03T00:00:00+02:00 Bucharest,1385ppm
2025-01-03T00:09:50+02:00 Bucharest,1516ppm
2025-01-03T00:15:00+02:00 Bucharest,1516ppm
2025-01-03T00:30:00+02:00 Bucharest,1516ppm
2025-01-03T00:45:00+02:00 Bucharest,1516ppm
2025-01-03T00:49:50+02:00 Bucharest,1609ppm
2025-01-03T01:00:00+02:00 Bucharest,1609ppm
2025-01-03T01:09:49+02:00 Bucharest,1626ppm
2025-01-03T01:15:00+02:00 Bucharest,1626ppm
2025-01-03T01:19:50+02:00 Bucharest,1666ppm
2025-01-03T01:30:00+02:00 Bucharest,1666ppm
2025-01-03T01:31:00+02:00 Bucharest,1714ppm
2025-01-03T01:45:00+02:00 Bucharest,1714ppm
2025-01-03T01:59:49+02:00 Bucharest,1549ppm
2025-01-03T02:00:00+02:00 Bucharest,1549ppm
2025-01-03T02:09:49+02:00 Bucharest,1652ppm
2025-01-03T02:15:00+02:00 Bucharest,1652ppm
2025-01-03T02:30:00+02:00 Bucharest,1652ppm
2025-01-03T02:45:00+02:00 Bucharest,1652ppm
2025-01-03T03:00:00+02:00 Bucharest,1652ppm
2025-01-03T03:15:00+02:00 Bucharest,1652ppm
2025-01-03T03:30:00+02:00 Bucharest,1652ppm
2025-01-03T03:39:49+02:00 Bucharest,1506ppm
2025-01-03T03:45:00+02:00 Bucharest,1506ppm
2025-01-03T04:00:00+02:00 Bucharest,1506ppm
