ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 cur amSensorRef:@p:linkEdge:r:2d9aaf5a-6e83ede1 "Site B Room 2 AQ" mod:2024-04-12T14:40:32.921Z hisSize:85654 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b8c-aab4b9e7 "Site B Room 2nca" co2 lorawanPoint curStatus:"ok" amSensorAM107ModelId:"_amSensorAM107_point:co2" point his curVal:1272ppm disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9aaf5a-8fb5e82f "2 AQ" navName:"CO2" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9aaf5a-6e83ede1 "Site B Room 2 AQ" id:@p:linkEdge:r:2d9aaf5a-34eee513 "Site B Room 2 AQ CO2" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T02:47:48+02:00 Bucharest hisStatus:"ok" innLinkEdge kind:"Number" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:1 lorawanCur:"co2" unit:"ppm" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba" sensor
2025-01-03T04:15:00+02:00 Bucharest,957ppm
2025-01-03T04:21:17+02:00 Bucharest,941ppm
2025-01-03T04:30:00+02:00 Bucharest,941ppm
2025-01-03T04:45:00+02:00 Bucharest,941ppm
2025-01-03T05:00:00+02:00 Bucharest,941ppm
2025-01-03T05:01:17+02:00 Bucharest,915ppm
2025-01-03T05:15:00+02:00 Bucharest,915ppm
2025-01-03T05:30:00+02:00 Bucharest,915ppm
2025-01-03T05:45:00+02:00 Bucharest,915ppm
2025-01-03T05:51:18+02:00 Bucharest,887ppm
2025-01-03T06:00:00+02:00 Bucharest,887ppm
2025-01-03T06:15:00+02:00 Bucharest,887ppm
2025-01-03T06:21:18+02:00 Bucharest,884ppm
2025-01-03T06:30:00+02:00 Bucharest,884ppm
2025-01-03T06:41:17+02:00 Bucharest,874ppm
2025-01-03T06:45:00+02:00 Bucharest,874ppm
2025-01-03T06:51:18+02:00 Bucharest,868ppm
2025-01-03T07:00:00+02:00 Bucharest,868ppm
2025-01-03T07:15:00+02:00 Bucharest,868ppm
2025-01-03T07:21:17+02:00 Bucharest,862ppm
2025-01-03T07:30:00+02:00 Bucharest,862ppm
2025-01-03T07:45:00+02:00 Bucharest,862ppm
2025-01-03T08:00:00+02:00 Bucharest,862ppm
2025-01-03T08:11:17+02:00 Bucharest,795ppm
2025-01-03T08:15:00+02:00 Bucharest,795ppm
2025-01-03T08:21:17+02:00 Bucharest,764ppm
2025-01-03T08:30:00+02:00 Bucharest,764ppm
2025-01-03T08:45:00+02:00 Bucharest,764ppm
2025-01-03T09:00:00+02:00 Bucharest,764ppm
2025-01-03T09:01:17+02:00 Bucharest,706ppm
2025-01-03T09:15:00+02:00 Bucharest,706ppm
2025-01-03T09:21:17+02:00 Bucharest,698ppm
2025-01-03T09:30:00+02:00 Bucharest,698ppm
2025-01-03T09:45:00+02:00 Bucharest,698ppm
2025-01-03T09:51:17+02:00 Bucharest,697ppm
2025-01-03T10:00:00+02:00 Bucharest,697ppm
2025-01-03T10:11:17+02:00 Bucharest,707ppm
2025-01-03T10:15:00+02:00 Bucharest,707ppm
2025-01-03T10:30:00+02:00 Bucharest,707ppm
2025-01-03T10:41:17+02:00 Bucharest,711ppm
2025-01-03T10:45:00+02:00 Bucharest,711ppm
2025-01-03T11:00:00+02:00 Bucharest,711ppm
2025-01-03T11:01:17+02:00 Bucharest,707ppm
2025-01-03T11:15:00+02:00 Bucharest,707ppm
2025-01-03T11:30:00+02:00 Bucharest,707ppm
2025-01-03T11:31:17+02:00 Bucharest,703ppm
2025-01-03T11:45:00+02:00 Bucharest,703ppm
2025-01-03T12:00:00+02:00 Bucharest,703ppm
2025-01-03T12:11:18+02:00 Bucharest,710ppm
