ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-22T21:29:13.285Z hisSize:62716 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b7e-192811d1 "Site B Room 4 Living" lorawanPoint maxVal:5 his minVal:1 id:@p:linkEdge:r:2d997a3d-7118020b "Site B Room 4 Living AQ TVOC" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T03:00:00+02:00 Bucharest innLinkEdge kind:"Number" unit:"ppb" sensor cur amSensorRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" curStatus:"ok" point curVal:100ppb disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d997a3d-8ce770dd "4 Living AQ" navName:"TVOC" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" airQuality hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:1 lorawanCur:"tvoc" floorRef:@p:linkEdge:r:2d996b5e-526d9983 "p:linkEdge:r:2d996b5e-526d9983" amSensorAM307ModelId:"_amSensorAM307_point:tvoc"
2025-01-03T09:45:00+02:00 Bucharest,100ppb
2025-01-03T10:00:00+02:00 Bucharest,100ppb
2025-01-03T10:15:00+02:00 Bucharest,100ppb
2025-01-03T10:30:00+02:00 Bucharest,100ppb
2025-01-03T10:45:00+02:00 Bucharest,100ppb
2025-01-03T11:00:00+02:00 Bucharest,100ppb
2025-01-03T11:15:00+02:00 Bucharest,100ppb
2025-01-03T11:30:00+02:00 Bucharest,100ppb
2025-01-03T11:45:00+02:00 Bucharest,100ppb
2025-01-03T12:00:00+02:00 Bucharest,100ppb
2025-01-03T12:15:00+02:00 Bucharest,100ppb
2025-01-03T12:30:00+02:00 Bucharest,100ppb
2025-01-03T12:45:00+02:00 Bucharest,100ppb
2025-01-03T12:57:37+02:00 Bucharest,158ppb
2025-01-03T13:00:00+02:00 Bucharest,158ppb
2025-01-03T13:15:00+02:00 Bucharest,158ppb
2025-01-03T13:17:37+02:00 Bucharest,201ppb
2025-01-03T13:30:00+02:00 Bucharest,201ppb
2025-01-03T13:45:00+02:00 Bucharest,201ppb
2025-01-03T13:57:36+02:00 Bucharest,225ppb
2025-01-03T14:00:00+02:00 Bucharest,225ppb
2025-01-03T14:15:00+02:00 Bucharest,225ppb
2025-01-03T14:30:00+02:00 Bucharest,225ppb
2025-01-03T14:45:00+02:00 Bucharest,225ppb
2025-01-03T14:57:35+02:00 Bucharest,267ppb
2025-01-03T15:00:00+02:00 Bucharest,267ppb
2025-01-03T15:07:35+02:00 Bucharest,265ppb
2025-01-03T15:15:00+02:00 Bucharest,265ppb
2025-01-03T15:17:35+02:00 Bucharest,267ppb
2025-01-03T15:27:35+02:00 Bucharest,270ppb
2025-01-03T15:30:00+02:00 Bucharest,270ppb
2025-01-03T15:45:00+02:00 Bucharest,270ppb
2025-01-03T15:47:34+02:00 Bucharest,267ppb
2025-01-03T16:00:00+02:00 Bucharest,267ppb
2025-01-03T16:15:00+02:00 Bucharest,267ppb
2025-01-03T16:27:34+02:00 Bucharest,269ppb
2025-01-03T16:30:00+02:00 Bucharest,269ppb
2025-01-03T16:45:00+02:00 Bucharest,269ppb
2025-01-03T17:00:00+02:00 Bucharest,269ppb
2025-01-03T17:15:00+02:00 Bucharest,269ppb
2025-01-03T17:17:33+02:00 Bucharest,271ppb
2025-01-03T17:30:00+02:00 Bucharest,271ppb
2025-01-03T17:37:32+02:00 Bucharest,270ppb
2025-01-03T17:45:00+02:00 Bucharest,270ppb
2025-01-03T17:47:32+02:00 Bucharest,264ppb
2025-01-03T17:57:32+02:00 Bucharest,270ppb
2025-01-03T18:00:00+02:00 Bucharest,270ppb
2025-01-03T18:07:32+02:00 Bucharest,265ppb
2025-01-03T18:15:00+02:00 Bucharest,265ppb
2025-01-03T18:30:00+02:00 Bucharest,265ppb
2025-01-03T18:37:31+02:00 Bucharest,253ppb
2025-01-03T18:45:00+02:00 Bucharest,253ppb
2025-01-03T18:47:31+02:00 Bucharest,248ppb
2025-01-03T18:57:31+02:00 Bucharest,238ppb
2025-01-03T19:00:00+02:00 Bucharest,238ppb
2025-01-03T19:07:31+02:00 Bucharest,231ppb
2025-01-03T19:15:00+02:00 Bucharest,231ppb
2025-01-03T19:27:30+02:00 Bucharest,192ppb
2025-01-03T19:30:00+02:00 Bucharest,192ppb
2025-01-03T19:45:00+02:00 Bucharest,192ppb
2025-01-03T20:00:00+02:00 Bucharest,192ppb
2025-01-03T20:07:30+02:00 Bucharest,100ppb
2025-01-03T20:15:00+02:00 Bucharest,100ppb
2025-01-03T20:30:00+02:00 Bucharest,100ppb
2025-01-03T20:45:00+02:00 Bucharest,100ppb
2025-01-03T21:00:00+02:00 Bucharest,100ppb
2025-01-03T21:15:00+02:00 Bucharest,100ppb
2025-01-03T21:30:00+02:00 Bucharest,100ppb
2025-01-03T21:45:00+02:00 Bucharest,100ppb
2025-01-03T22:00:00+02:00 Bucharest,100ppb
2025-01-03T22:15:00+02:00 Bucharest,100ppb
2025-01-03T22:30:00+02:00 Bucharest,100ppb
2025-01-03T22:45:00+02:00 Bucharest,100ppb
2025-01-03T23:00:00+02:00 Bucharest,100ppb
2025-01-03T23:15:00+02:00 Bucharest,100ppb
2025-01-03T23:30:00+02:00 Bucharest,100ppb
2025-01-03T23:45:00+02:00 Bucharest,100ppb
2025-01-04T00:00:00+02:00 Bucharest,100ppb
2025-01-04T00:15:00+02:00 Bucharest,100ppb
2025-01-04T00:17:25+02:00 Bucharest,157ppb
2025-01-04T00:30:00+02:00 Bucharest,157ppb
2025-01-04T00:45:00+02:00 Bucharest,157ppb
2025-01-04T00:47:25+02:00 Bucharest,199ppb
2025-01-04T00:57:25+02:00 Bucharest,216ppb
2025-01-04T01:00:00+02:00 Bucharest,216ppb
2025-01-04T01:07:24+02:00 Bucharest,219ppb
2025-01-04T01:15:00+02:00 Bucharest,219ppb
2025-01-04T01:17:24+02:00 Bucharest,236ppb
2025-01-04T01:30:00+02:00 Bucharest,236ppb
2025-01-04T01:45:00+02:00 Bucharest,236ppb
2025-01-04T01:47:24+02:00 Bucharest,265ppb
2025-01-04T01:57:24+02:00 Bucharest,277ppb
2025-01-04T02:00:00+02:00 Bucharest,277ppb
2025-01-04T02:07:23+02:00 Bucharest,296ppb
2025-01-04T02:15:00+02:00 Bucharest,296ppb
2025-01-04T02:27:23+02:00 Bucharest,320ppb
2025-01-04T02:30:00+02:00 Bucharest,320ppb
2025-01-04T02:37:23+02:00 Bucharest,314ppb
2025-01-04T02:45:00+02:00 Bucharest,314ppb
2025-01-04T02:57:23+02:00 Bucharest,301ppb
2025-01-04T03:00:00+02:00 Bucharest,301ppb
2025-01-04T03:15:00+02:00 Bucharest,301ppb
2025-01-04T03:17:22+02:00 Bucharest,286ppb
2025-01-04T03:30:00+02:00 Bucharest,286ppb
2025-01-04T03:37:22+02:00 Bucharest,259ppb
2025-01-04T03:45:00+02:00 Bucharest,259ppb
2025-01-04T03:47:22+02:00 Bucharest,251ppb
2025-01-04T03:57:22+02:00 Bucharest,240ppb
