ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-12T14:46:51.78Z hisSize:51917 tz:"Bucharest" precision:1 roomRef:@p:linkEdge:r:2d996b7e-192811d1 "Site B Room 4 Living" lorawanPoint his id:@p:linkEdge:r:2d997a3d-7836afaf "Site B Room 4 Living AQ Temperature" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T02:45:00+02:00 Bucharest innLinkEdge kind:"Number" unit:"°C" sensor cur amSensorRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" curStatus:"ok" point curVal:25.2°C disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d997a3d-8ce770dd "4 Living AQ" navName:"Temperature" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" temp hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:0.1 lorawanCur:"temperature" floorRef:@p:linkEdge:r:2d996b5e-526d9983 "p:linkEdge:r:2d996b5e-526d9983" amSensorAM307ModelId:"_amSensorAM307_point:temperature"
2025-03-26T00:05:44+02:00 Bucharest,24.200000762939453°C
2025-03-26T00:15:00+02:00 Bucharest,24.200000762939453°C
2025-03-26T00:30:00+02:00 Bucharest,24.200000762939453°C
2025-03-26T00:45:00+02:00 Bucharest,24.200000762939453°C
2025-03-26T01:00:00+02:00 Bucharest,24.100000381469727°C
2025-03-26T01:15:00+02:00 Bucharest,24.100000381469727°C
2025-03-26T01:30:00+02:00 Bucharest,24.100000381469727°C
2025-03-26T01:45:00+02:00 Bucharest,24.200000762939453°C
2025-03-26T01:46:00+02:00 Bucharest,24.299999237060547°C
2025-03-26T02:00:00+02:00 Bucharest,24.399999618530273°C
2025-03-26T02:05:41+02:00 Bucharest,24.600000381469727°C
2025-03-26T02:15:00+02:00 Bucharest,24.600000381469727°C
2025-03-26T02:16:00+02:00 Bucharest,24.799999237060547°C
2025-03-26T02:25:40+02:00 Bucharest,25°C
2025-03-26T02:30:00+02:00 Bucharest,25°C
2025-03-26T02:35:40+02:00 Bucharest,25.100000381469727°C
2025-03-26T02:45:00+02:00 Bucharest,25.100000381469727°C
2025-03-26T02:46:00+02:00 Bucharest,25.299999237060547°C
2025-03-26T03:00:00+02:00 Bucharest,25.399999618530273°C
2025-03-26T03:05:40+02:00 Bucharest,25.5°C
2025-03-26T03:15:00+02:00 Bucharest,25.5°C
2025-03-26T03:16:00+02:00 Bucharest,25.600000381469727°C
2025-03-26T03:30:00+02:00 Bucharest,25.700000762939453°C
2025-03-26T03:45:00+02:00 Bucharest,25.700000762939453°C
2025-03-26T03:55:39+02:00 Bucharest,25.799999237060547°C
2025-03-26T04:00:00+02:00 Bucharest,25.799999237060547°C
2025-03-26T04:15:00+02:00 Bucharest,25.799999237060547°C
2025-03-26T04:30:00+02:00 Bucharest,25.799999237060547°C
2025-03-26T04:45:00+02:00 Bucharest,25.799999237060547°C
2025-03-26T04:46:00+02:00 Bucharest,25.700000762939453°C
2025-03-26T04:55:38+02:00 Bucharest,25.799999237060547°C
2025-03-26T05:00:00+02:00 Bucharest,25.799999237060547°C
2025-03-26T05:05:38+02:00 Bucharest,25.700000762939453°C
2025-03-26T05:15:00+02:00 Bucharest,25.700000762939453°C
2025-03-26T05:30:00+02:00 Bucharest,25.700000762939453°C
2025-03-26T05:45:00+02:00 Bucharest,25.700000762939453°C
2025-03-26T06:00:00+02:00 Bucharest,25.600000381469727°C
2025-03-26T06:15:00+02:00 Bucharest,25.600000381469727°C
2025-03-26T06:25:36+02:00 Bucharest,25.5°C
2025-03-26T06:30:00+02:00 Bucharest,25.5°C
2025-03-26T06:45:00+02:00 Bucharest,25.5°C
2025-03-26T06:55:36+02:00 Bucharest,25.399999618530273°C
2025-03-26T07:00:00+02:00 Bucharest,25.399999618530273°C
2025-03-26T07:15:00+02:00 Bucharest,25.299999237060547°C
2025-03-26T07:16:00+02:00 Bucharest,25.200000762939453°C
2025-03-26T07:30:00+02:00 Bucharest,25.100000381469727°C
2025-03-26T07:35:35+02:00 Bucharest,25°C
2025-03-26T07:45:00+02:00 Bucharest,25°C
2025-03-26T07:46:00+02:00 Bucharest,24.899999618530273°C
2025-03-26T08:00:00+02:00 Bucharest,24.799999237060547°C
2025-03-26T08:15:00+02:00 Bucharest,24.799999237060547°C
2025-03-26T08:16:00+02:00 Bucharest,24.700000762939453°C
2025-03-26T08:25:34+02:00 Bucharest,24.799999237060547°C
2025-03-26T08:30:00+02:00 Bucharest,24.799999237060547°C
2025-03-26T08:35:34+02:00 Bucharest,24.700000762939453°C
2025-03-26T08:45:00+02:00 Bucharest,24.700000762939453°C
2025-03-26T09:00:00+02:00 Bucharest,24.600000381469727°C
2025-03-26T09:15:00+02:00 Bucharest,24.700000762939453°C
2025-03-26T09:30:00+02:00 Bucharest,24.700000762939453°C
2025-03-26T09:45:00+02:00 Bucharest,24.700000762939453°C
2025-03-26T09:55:32+02:00 Bucharest,24.5°C
2025-03-26T10:00:00+02:00 Bucharest,24.5°C
2025-03-26T10:05:32+02:00 Bucharest,24.299999237060547°C
2025-03-26T10:15:00+02:00 Bucharest,24.299999237060547°C
2025-03-26T10:25:32+02:00 Bucharest,24.200000762939453°C
2025-03-26T10:30:00+02:00 Bucharest,24.200000762939453°C
2025-03-26T10:45:00+02:00 Bucharest,24.200000762939453°C
2025-03-26T11:00:00+02:00 Bucharest,24.100000381469727°C
2025-03-26T11:15:00+02:00 Bucharest,24.100000381469727°C
2025-03-26T11:30:00+02:00 Bucharest,24.200000762939453°C
2025-03-26T11:45:00+02:00 Bucharest,24.200000762939453°C
2025-03-26T12:00:00+02:00 Bucharest,24.200000762939453°C
2025-03-26T12:05:30+02:00 Bucharest,24.299999237060547°C
2025-03-26T12:15:00+02:00 Bucharest,24.299999237060547°C
2025-03-26T12:25:30+02:00 Bucharest,24.5°C
2025-03-26T12:30:00+02:00 Bucharest,24.5°C
2025-03-26T12:45:00+02:00 Bucharest,24.5°C
2025-03-26T12:46:00+02:00 Bucharest,24.399999618530273°C
2025-03-26T13:00:00+02:00 Bucharest,24.399999618530273°C
2025-03-26T13:05:29+02:00 Bucharest,24.5°C
2025-03-26T13:15:00+02:00 Bucharest,24.5°C
2025-03-26T13:30:00+02:00 Bucharest,24.5°C
2025-03-26T13:35:28+02:00 Bucharest,24.700000762939453°C
2025-03-26T13:45:00+02:00 Bucharest,24.700000762939453°C
2025-03-26T13:46:00+02:00 Bucharest,24.799999237060547°C
2025-03-26T14:00:00+02:00 Bucharest,24.899999618530273°C
2025-03-26T14:05:28+02:00 Bucharest,25.100000381469727°C
2025-03-26T14:15:00+02:00 Bucharest,25.100000381469727°C
2025-03-26T14:30:00+02:00 Bucharest,25.200000762939453°C
2025-03-26T14:45:00+02:00 Bucharest,25.100000381469727°C
2025-03-26T14:46:00+02:00 Bucharest,25°C
2025-03-26T14:55:27+02:00 Bucharest,24.899999618530273°C
2025-03-26T15:00:00+02:00 Bucharest,24.899999618530273°C
2025-03-26T15:15:00+02:00 Bucharest,24.799999237060547°C
2025-03-26T15:25:27+02:00 Bucharest,24.700000762939453°C
2025-03-26T15:30:00+02:00 Bucharest,24.700000762939453°C
2025-03-26T15:45:00+02:00 Bucharest,24.600000381469727°C
2025-03-26T16:00:00+02:00 Bucharest,24.600000381469727°C
2025-03-26T16:15:00+02:00 Bucharest,24.700000762939453°C
2025-03-26T16:16:00+02:00 Bucharest,24.799999237060547°C
2025-03-26T16:30:00+02:00 Bucharest,24.899999618530273°C
2025-03-26T16:45:00+02:00 Bucharest,24.899999618530273°C
2025-03-26T17:00:00+02:00 Bucharest,24.899999618530273°C
2025-03-26T17:05:25+02:00 Bucharest,25°C
2025-03-26T17:15:00+02:00 Bucharest,25°C
2025-03-26T17:30:00+02:00 Bucharest,25°C
2025-03-26T17:45:00+02:00 Bucharest,25°C
2025-03-26T17:46:00+02:00 Bucharest,25.100000381469727°C
2025-03-26T18:00:00+02:00 Bucharest,25.200000762939453°C
2025-03-26T18:15:00+02:00 Bucharest,25.200000762939453°C
2025-03-26T18:30:00+02:00 Bucharest,25.100000381469727°C
2025-03-26T18:35:23+02:00 Bucharest,25°C
2025-03-26T18:45:00+02:00 Bucharest,25°C
2025-03-26T18:46:00+02:00 Bucharest,24.799999237060547°C
2025-03-26T19:00:00+02:00 Bucharest,24.799999237060547°C
2025-03-26T19:05:23+02:00 Bucharest,24.700000762939453°C
2025-03-26T19:15:00+02:00 Bucharest,24.700000762939453°C
2025-03-26T19:30:00+02:00 Bucharest,24.700000762939453°C
2025-03-26T19:45:00+02:00 Bucharest,24.700000762939453°C
2025-03-26T20:00:00+02:00 Bucharest,24.600000381469727°C
2025-03-26T20:15:00+02:00 Bucharest,24.600000381469727°C
2025-03-26T20:25:21+02:00 Bucharest,24.5°C
2025-03-26T20:30:00+02:00 Bucharest,24.5°C
2025-03-26T20:45:00+02:00 Bucharest,24.5°C
2025-03-26T21:00:00+02:00 Bucharest,24.5°C
2025-03-26T21:05:21+02:00 Bucharest,24.600000381469727°C
2025-03-26T21:15:00+02:00 Bucharest,24.600000381469727°C
2025-03-26T21:25:20+02:00 Bucharest,24.5°C
2025-03-26T21:30:00+02:00 Bucharest,24.5°C
2025-03-26T21:45:00+02:00 Bucharest,24.5°C
2025-03-26T21:46:00+02:00 Bucharest,24.399999618530273°C
2025-03-26T22:00:00+02:00 Bucharest,24.299999237060547°C
2025-03-26T22:15:00+02:00 Bucharest,24.299999237060547°C
2025-03-26T22:25:19+02:00 Bucharest,24.200000762939453°C
2025-03-26T22:30:00+02:00 Bucharest,24.200000762939453°C
2025-03-26T22:45:00+02:00 Bucharest,24.100000381469727°C
2025-03-26T23:00:00+02:00 Bucharest,24.100000381469727°C
2025-03-26T23:15:00+02:00 Bucharest,24.100000381469727°C
2025-03-26T23:30:00+02:00 Bucharest,24.200000762939453°C
2025-03-26T23:35:18+02:00 Bucharest,24.399999618530273°C
2025-03-26T23:45:00+02:00 Bucharest,24.399999618530273°C
2025-03-26T23:46:00+02:00 Bucharest,24.5°C
2025-03-26T23:55:18+02:00 Bucharest,24.600000381469727°C
2025-03-27T00:00:00+02:00 Bucharest,24.600000381469727°C
2025-03-27T00:05:17+02:00 Bucharest,24.799999237060547°C
2025-03-27T00:15:00+02:00 Bucharest,24.799999237060547°C
2025-03-27T00:25:17+02:00 Bucharest,25.100000381469727°C
2025-03-27T00:30:00+02:00 Bucharest,25.100000381469727°C
2025-03-27T00:45:00+02:00 Bucharest,25.200000762939453°C
2025-03-27T00:46:00+02:00 Bucharest,25.299999237060547°C
2025-03-27T01:00:00+02:00 Bucharest,25.399999618530273°C
2025-03-27T01:15:00+02:00 Bucharest,25.399999618530273°C
2025-03-27T01:16:00+02:00 Bucharest,25.5°C
2025-03-27T01:30:00+02:00 Bucharest,25.5°C
2025-03-27T01:45:00+02:00 Bucharest,25.5°C
2025-03-27T02:00:00+02:00 Bucharest,25.5°C
2025-03-27T02:15:00+02:00 Bucharest,25.5°C
2025-03-27T02:30:00+02:00 Bucharest,25.5°C
2025-03-27T02:45:00+02:00 Bucharest,25.5°C
2025-03-27T02:55:14+02:00 Bucharest,25.399999618530273°C
2025-03-27T03:00:00+02:00 Bucharest,25.399999618530273°C
2025-03-27T03:15:00+02:00 Bucharest,25.399999618530273°C
2025-03-27T03:30:00+02:00 Bucharest,25.399999618530273°C
2025-03-27T03:45:00+02:00 Bucharest,25.299999237060547°C
2025-03-27T04:00:00+02:00 Bucharest,25.299999237060547°C
2025-03-27T04:15:00+02:00 Bucharest,25.299999237060547°C
2025-03-27T04:16:00+02:00 Bucharest,25.200000762939453°C
2025-03-27T04:30:00+02:00 Bucharest,25.200000762939453°C
2025-03-27T04:45:00+02:00 Bucharest,25.200000762939453°C
2025-03-27T05:00:00+02:00 Bucharest,25.100000381469727°C
2025-03-27T05:15:00+02:00 Bucharest,25.100000381469727°C
2025-03-27T05:16:00+02:00 Bucharest,25°C
2025-03-27T05:30:00+02:00 Bucharest,25°C
2025-03-27T05:35:12+02:00 Bucharest,24.899999618530273°C
2025-03-27T05:45:00+02:00 Bucharest,24.899999618530273°C
2025-03-27T06:00:00+02:00 Bucharest,24.899999618530273°C
2025-03-27T06:15:00+02:00 Bucharest,24.899999618530273°C
2025-03-27T06:30:00+02:00 Bucharest,24.799999237060547°C
2025-03-27T06:45:00+02:00 Bucharest,24.799999237060547°C
2025-03-27T06:46:00+02:00 Bucharest,24.700000762939453°C
2025-03-27T07:00:00+02:00 Bucharest,24.700000762939453°C
2025-03-27T07:15:00+02:00 Bucharest,24.700000762939453°C
2025-03-27T07:30:00+02:00 Bucharest,24.600000381469727°C
2025-03-27T07:45:00+02:00 Bucharest,24.600000381469727°C
2025-03-27T07:55:09+02:00 Bucharest,24.5°C
2025-03-27T08:00:00+02:00 Bucharest,24.5°C
2025-03-27T08:15:00+02:00 Bucharest,24.5°C
2025-03-27T08:30:00+02:00 Bucharest,24.5°C
2025-03-27T08:45:00+02:00 Bucharest,24.5°C
2025-03-27T08:46:00+02:00 Bucharest,24.399999618530273°C
2025-03-27T09:00:00+02:00 Bucharest,24.399999618530273°C
2025-03-27T09:15:00+02:00 Bucharest,24.399999618530273°C
2025-03-27T09:30:00+02:00 Bucharest,24.299999237060547°C
2025-03-27T09:45:00+02:00 Bucharest,24.299999237060547°C
2025-03-27T10:00:00+02:00 Bucharest,24.299999237060547°C
2025-03-27T10:15:00+02:00 Bucharest,24.399999618530273°C
2025-03-27T10:16:00+02:00 Bucharest,24.5°C
2025-03-27T10:25:06+02:00 Bucharest,24.700000762939453°C
2025-03-27T10:30:00+02:00 Bucharest,24.700000762939453°C
2025-03-27T10:35:06+02:00 Bucharest,24.899999618530273°C
2025-03-27T10:45:00+02:00 Bucharest,24.899999618530273°C
2025-03-27T10:46:00+02:00 Bucharest,25.200000762939453°C
2025-03-27T10:55:06+02:00 Bucharest,25.299999237060547°C
2025-03-27T11:00:00+02:00 Bucharest,25.299999237060547°C
2025-03-27T11:05:06+02:00 Bucharest,25.5°C
2025-03-27T11:15:00+02:00 Bucharest,25.5°C
2025-03-27T11:16:00+02:00 Bucharest,25.600000381469727°C
2025-03-27T11:30:00+02:00 Bucharest,25.700000762939453°C
2025-03-27T11:35:05+02:00 Bucharest,25.799999237060547°C
2025-03-27T11:45:00+02:00 Bucharest,25.799999237060547°C
2025-03-27T12:00:00+02:00 Bucharest,25.899999618530273°C
2025-03-27T12:05:05+02:00 Bucharest,26°C
2025-03-27T12:15:00+02:00 Bucharest,26°C
2025-03-27T12:30:00+02:00 Bucharest,26°C
2025-03-27T12:45:00+02:00 Bucharest,26°C
2025-03-27T12:55:04+02:00 Bucharest,26.100000381469727°C
2025-03-27T13:00:00+02:00 Bucharest,26.100000381469727°C
2025-03-27T13:15:00+02:00 Bucharest,26.100000381469727°C
2025-03-27T13:16:00+02:00 Bucharest,26°C
2025-03-27T13:30:00+02:00 Bucharest,26°C
2025-03-27T13:45:00+02:00 Bucharest,26°C
2025-03-27T14:00:00+02:00 Bucharest,26°C
2025-03-27T14:15:00+02:00 Bucharest,26°C
2025-03-27T14:25:02+02:00 Bucharest,25.899999618530273°C
2025-03-27T14:30:00+02:00 Bucharest,25.899999618530273°C
2025-03-27T14:45:00+02:00 Bucharest,25.799999237060547°C
2025-03-27T15:00:00+02:00 Bucharest,25.799999237060547°C
2025-03-27T15:15:00+02:00 Bucharest,25.799999237060547°C
2025-03-27T15:16:00+02:00 Bucharest,25.700000762939453°C
2025-03-27T15:25:01+02:00 Bucharest,25.799999237060547°C
2025-03-27T15:30:00+02:00 Bucharest,25.799999237060547°C
2025-03-27T15:45:00+02:00 Bucharest,25.799999237060547°C
2025-03-27T16:00:00+02:00 Bucharest,25.799999237060547°C
2025-03-27T16:15:00+02:00 Bucharest,25.899999618530273°C
2025-03-27T16:30:00+02:00 Bucharest,25.799999237060547°C
2025-03-27T16:45:00+02:00 Bucharest,25.799999237060547°C
2025-03-27T17:00:00+02:00 Bucharest,25.799999237060547°C
2025-03-27T17:04:59+02:00 Bucharest,25.399999618530273°C
2025-03-27T17:14:59+02:00 Bucharest,24.899999618530273°C
2025-03-27T17:15:00+02:00 Bucharest,24.899999618530273°C
2025-03-27T17:30:00+02:00 Bucharest,24.799999237060547°C
2025-03-27T17:45:00+02:00 Bucharest,24.799999237060547°C
2025-03-27T17:54:59+02:00 Bucharest,25°C
2025-03-27T18:00:00+02:00 Bucharest,25°C
2025-03-27T18:04:58+02:00 Bucharest,25.100000381469727°C
2025-03-27T18:15:00+02:00 Bucharest,25.200000762939453°C
2025-03-27T18:24:58+02:00 Bucharest,25.299999237060547°C
2025-03-27T18:30:00+02:00 Bucharest,25.299999237060547°C
2025-03-27T18:45:00+02:00 Bucharest,25.299999237060547°C
2025-03-27T19:00:00+02:00 Bucharest,25.399999618530273°C
2025-03-27T19:15:00+02:00 Bucharest,25.399999618530273°C
2025-03-27T19:24:57+02:00 Bucharest,25.5°C
2025-03-27T19:30:00+02:00 Bucharest,25.5°C
2025-03-27T19:34:57+02:00 Bucharest,25.600000381469727°C
2025-03-27T19:45:00+02:00 Bucharest,25.600000381469727°C
2025-03-27T20:00:00+02:00 Bucharest,25.600000381469727°C
2025-03-27T20:14:56+02:00 Bucharest,25.5°C
2025-03-27T20:15:00+02:00 Bucharest,25.5°C
2025-03-27T20:30:00+02:00 Bucharest,25.5°C
2025-03-27T20:34:56+02:00 Bucharest,25.399999618530273°C
2025-03-27T20:45:00+02:00 Bucharest,25.399999618530273°C
2025-03-27T21:00:00+02:00 Bucharest,25.299999237060547°C
2025-03-27T21:14:55+02:00 Bucharest,25.200000762939453°C
2025-03-27T21:15:00+02:00 Bucharest,25.200000762939453°C
2025-03-27T21:30:00+02:00 Bucharest,25.200000762939453°C
2025-03-27T21:45:00+02:00 Bucharest,25.100000381469727°C
2025-03-27T22:00:00+02:00 Bucharest,25.100000381469727°C
2025-03-27T22:04:54+02:00 Bucharest,25°C
2025-03-27T22:15:00+02:00 Bucharest,25°C
2025-03-27T22:24:54+02:00 Bucharest,24.899999618530273°C
2025-03-27T22:30:00+02:00 Bucharest,24.899999618530273°C
2025-03-27T22:45:00+02:00 Bucharest,24.899999618530273°C
2025-03-27T23:00:00+02:00 Bucharest,24.899999618530273°C
2025-03-27T23:15:00+02:00 Bucharest,24.799999237060547°C
2025-03-27T23:30:00+02:00 Bucharest,24.799999237060547°C
2025-03-27T23:44:52+02:00 Bucharest,24.700000762939453°C
2025-03-27T23:45:00+02:00 Bucharest,24.700000762939453°C
2025-03-28T00:00:00+02:00 Bucharest,24.700000762939453°C
2025-03-28T00:15:00+02:00 Bucharest,24.600000381469727°C
2025-03-28T00:30:00+02:00 Bucharest,24.600000381469727°C
2025-03-28T00:34:51+02:00 Bucharest,24.5°C
2025-03-28T00:44:51+02:00 Bucharest,24.399999618530273°C
2025-03-28T00:45:00+02:00 Bucharest,24.399999618530273°C
2025-03-28T01:00:00+02:00 Bucharest,24.399999618530273°C
2025-03-28T01:15:00+02:00 Bucharest,24.299999237060547°C
2025-03-28T01:30:00+02:00 Bucharest,24.299999237060547°C
2025-03-28T01:44:50+02:00 Bucharest,24.200000762939453°C
2025-03-28T01:45:00+02:00 Bucharest,24.200000762939453°C
2025-03-28T02:00:00+02:00 Bucharest,24.200000762939453°C
2025-03-28T02:14:50+02:00 Bucharest,24.299999237060547°C
2025-03-28T02:15:00+02:00 Bucharest,24.299999237060547°C
2025-03-28T02:24:49+02:00 Bucharest,24.5°C
2025-03-28T02:30:00+02:00 Bucharest,24.5°C
2025-03-28T02:34:49+02:00 Bucharest,24.600000381469727°C
2025-03-28T02:44:51+02:00 Bucharest,24.799999237060547°C
2025-03-28T02:45:00+02:00 Bucharest,24.799999237060547°C
2025-03-28T02:54:49+02:00 Bucharest,25°C
2025-03-28T03:00:00+02:00 Bucharest,25°C
2025-03-28T03:04:49+02:00 Bucharest,25.100000381469727°C
2025-03-28T03:14:49+02:00 Bucharest,25.299999237060547°C
2025-03-28T03:15:00+02:00 Bucharest,25.299999237060547°C
2025-03-28T03:30:00+02:00 Bucharest,25.399999618530273°C
2025-03-28T03:34:48+02:00 Bucharest,25.5°C
2025-03-28T03:45:00+02:00 Bucharest,25.5°C
2025-03-28T03:54:48+02:00 Bucharest,25.600000381469727°C
2025-03-28T04:00:00+02:00 Bucharest,25.600000381469727°C
2025-03-28T04:15:00+02:00 Bucharest,25.700000762939453°C
2025-03-28T04:30:00+02:00 Bucharest,25.700000762939453°C
2025-03-28T04:45:00+02:00 Bucharest,25.700000762939453°C
2025-03-28T05:00:00+02:00 Bucharest,25.700000762939453°C
2025-03-28T05:15:00+02:00 Bucharest,25.700000762939453°C
2025-03-28T05:30:00+02:00 Bucharest,25.700000762939453°C
2025-03-28T05:45:00+02:00 Bucharest,25.600000381469727°C
2025-03-28T06:00:00+02:00 Bucharest,25.600000381469727°C
2025-03-28T06:04:46+02:00 Bucharest,25.5°C
2025-03-28T06:15:00+02:00 Bucharest,25.5°C
2025-03-28T06:30:00+02:00 Bucharest,25.5°C
2025-03-28T06:44:45+02:00 Bucharest,25.399999618530273°C
2025-03-28T06:45:00+02:00 Bucharest,25.399999618530273°C
2025-03-28T07:00:00+02:00 Bucharest,25.399999618530273°C
2025-03-28T07:15:00+02:00 Bucharest,25.299999237060547°C
2025-03-28T07:24:44+02:00 Bucharest,25.200000762939453°C
2025-03-28T07:30:00+02:00 Bucharest,25.200000762939453°C
2025-03-28T07:45:00+02:00 Bucharest,25.200000762939453°C
2025-03-28T08:00:00+02:00 Bucharest,25.100000381469727°C
2025-03-28T08:14:43+02:00 Bucharest,25°C
2025-03-28T08:15:00+02:00 Bucharest,25°C
2025-03-28T08:24:43+02:00 Bucharest,24.899999618530273°C
2025-03-28T08:30:00+02:00 Bucharest,24.899999618530273°C
2025-03-28T08:45:00+02:00 Bucharest,24.899999618530273°C
2025-03-28T09:00:00+02:00 Bucharest,24.799999237060547°C
2025-03-28T09:14:42+02:00 Bucharest,24.700000762939453°C
2025-03-28T09:15:00+02:00 Bucharest,24.700000762939453°C
2025-03-28T09:30:00+02:00 Bucharest,24.700000762939453°C
2025-03-28T09:45:00+02:00 Bucharest,24.600000381469727°C
2025-03-28T10:00:00+02:00 Bucharest,24.600000381469727°C
2025-03-28T10:15:00+02:00 Bucharest,24.600000381469727°C
2025-03-28T10:24:41+02:00 Bucharest,24.5°C
2025-03-28T10:30:00+02:00 Bucharest,24.5°C
2025-03-28T10:45:00+02:00 Bucharest,24.5°C
2025-03-28T11:00:00+02:00 Bucharest,24.5°C
2025-03-28T11:04:40+02:00 Bucharest,24.399999618530273°C
2025-03-28T11:15:00+02:00 Bucharest,24.399999618530273°C
2025-03-28T11:30:00+02:00 Bucharest,24.399999618530273°C
2025-03-28T11:45:00+02:00 Bucharest,24.299999237060547°C
2025-03-28T12:00:00+02:00 Bucharest,24.299999237060547°C
2025-03-28T12:15:00+02:00 Bucharest,24.399999618530273°C
2025-03-28T12:30:00+02:00 Bucharest,24.399999618530273°C
2025-03-28T12:34:39+02:00 Bucharest,24.600000381469727°C
2025-03-28T12:45:00+02:00 Bucharest,24.700000762939453°C
2025-03-28T12:54:38+02:00 Bucharest,24.899999618530273°C
2025-03-28T13:00:00+02:00 Bucharest,24.899999618530273°C
2025-03-28T13:04:38+02:00 Bucharest,25.100000381469727°C
2025-03-28T13:15:00+02:00 Bucharest,25.200000762939453°C
2025-03-28T13:24:38+02:00 Bucharest,25.399999618530273°C
2025-03-28T13:30:00+02:00 Bucharest,25.399999618530273°C
2025-03-28T13:34:38+02:00 Bucharest,25.5°C
2025-03-28T13:44:38+02:00 Bucharest,25.600000381469727°C
2025-03-28T13:45:00+02:00 Bucharest,25.600000381469727°C
2025-03-28T14:00:00+02:00 Bucharest,25.700000762939453°C
2025-03-28T14:14:37+02:00 Bucharest,25.799999237060547°C
2025-03-28T14:15:00+02:00 Bucharest,25.799999237060547°C
2025-03-28T14:30:00+02:00 Bucharest,25.799999237060547°C
2025-03-28T14:45:00+02:00 Bucharest,25.799999237060547°C
2025-03-28T15:00:00+02:00 Bucharest,25.799999237060547°C
2025-03-28T15:15:00+02:00 Bucharest,25.799999237060547°C
2025-03-28T15:30:00+02:00 Bucharest,25.899999618530273°C
2025-03-28T15:45:00+02:00 Bucharest,25.899999618530273°C
2025-03-28T16:00:00+02:00 Bucharest,25.899999618530273°C
2025-03-28T16:14:35+02:00 Bucharest,26°C
2025-03-28T16:15:00+02:00 Bucharest,26°C
2025-03-28T16:30:00+02:00 Bucharest,26°C
2025-03-28T16:45:00+02:00 Bucharest,26°C
2025-03-28T16:54:34+02:00 Bucharest,25.899999618530273°C
2025-03-28T17:00:00+02:00 Bucharest,25.899999618530273°C
2025-03-28T17:15:00+02:00 Bucharest,25.899999618530273°C
2025-03-28T17:30:00+02:00 Bucharest,25.899999618530273°C
2025-03-28T17:45:00+02:00 Bucharest,25.799999237060547°C
2025-03-28T18:00:00+02:00 Bucharest,25.799999237060547°C
2025-03-28T18:14:33+02:00 Bucharest,25.700000762939453°C
2025-03-28T18:15:00+02:00 Bucharest,25.700000762939453°C
2025-03-28T18:30:00+02:00 Bucharest,25.700000762939453°C
2025-03-28T18:45:00+02:00 Bucharest,25.600000381469727°C
2025-03-28T19:00:00+02:00 Bucharest,25.600000381469727°C
2025-03-28T19:15:00+02:00 Bucharest,25.600000381469727°C
2025-03-28T19:30:00+02:00 Bucharest,25.600000381469727°C
2025-03-28T19:45:00+02:00 Bucharest,25.600000381469727°C
2025-03-28T20:00:00+02:00 Bucharest,25.600000381469727°C
2025-03-28T20:15:00+02:00 Bucharest,25.700000762939453°C
2025-03-28T20:30:00+02:00 Bucharest,25.700000762939453°C
2025-03-28T20:45:00+02:00 Bucharest,25.600000381469727°C
2025-03-28T21:00:00+02:00 Bucharest,25.600000381469727°C
2025-03-28T21:04:30+02:00 Bucharest,25.5°C
2025-03-28T21:15:00+02:00 Bucharest,25.5°C
2025-03-28T21:30:00+02:00 Bucharest,25.5°C
2025-03-28T21:34:29+02:00 Bucharest,25.399999618530273°C
2025-03-28T21:45:00+02:00 Bucharest,25.399999618530273°C
2025-03-28T22:00:00+02:00 Bucharest,25.399999618530273°C
2025-03-28T22:15:00+02:00 Bucharest,25.399999618530273°C
2025-03-28T22:30:00+02:00 Bucharest,25.399999618530273°C
2025-03-28T22:45:00+02:00 Bucharest,25.399999618530273°C
2025-03-28T23:00:00+02:00 Bucharest,25.299999237060547°C
2025-03-28T23:15:00+02:00 Bucharest,25.299999237060547°C
2025-03-28T23:24:27+02:00 Bucharest,25.200000762939453°C
2025-03-28T23:30:00+02:00 Bucharest,25.200000762939453°C
2025-03-28T23:45:00+02:00 Bucharest,25.200000762939453°C
2025-03-29T00:00:00+02:00 Bucharest,25.200000762939453°C
2025-03-29T00:15:00+02:00 Bucharest,25.100000381469727°C
2025-03-29T00:30:00+02:00 Bucharest,25.100000381469727°C
2025-03-29T00:34:26+02:00 Bucharest,25°C
2025-03-29T00:45:00+02:00 Bucharest,25°C
2025-03-29T00:54:26+02:00 Bucharest,24.899999618530273°C
2025-03-29T01:00:00+02:00 Bucharest,24.899999618530273°C
2025-03-29T01:15:00+02:00 Bucharest,24.799999237060547°C
2025-03-29T01:30:00+02:00 Bucharest,24.799999237060547°C
2025-03-29T01:34:25+02:00 Bucharest,24.700000762939453°C
