ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-12T14:44:15.252Z hisSize:81212 tz:"Bucharest" precision:0 roomRef:@p:linkEdge:r:2d996b7e-192811d1 "Site B Room 4 Living" lorawanPoint maxVal:5000 his minVal:400 id:@p:linkEdge:r:2d997a3d-ff70ea0a "Site B Room 4 Living AQ CO2" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T02:51:35+02:00 Bucharest innLinkEdge kind:"Number" unit:"ppm" sensor cur amSensorRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" co2 curStatus:"ok" point curVal:751ppm disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d997a3d-8ce770dd "4 Living AQ" navName:"CO2" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:1 lorawanCur:"co2" floorRef:@p:linkEdge:r:2d996b5e-526d9983 "p:linkEdge:r:2d996b5e-526d9983" amSensorAM307ModelId:"_amSensorAM307_point:co2"
2025-01-02T15:00:00+02:00 Bucharest,375ppm
2025-01-02T15:15:00+02:00 Bucharest,375ppm
2025-01-02T15:18:00+02:00 Bucharest,452ppm
2025-01-02T15:28:00+02:00 Bucharest,513ppm
2025-01-02T15:30:00+02:00 Bucharest,513ppm
2025-01-02T15:38:00+02:00 Bucharest,555ppm
2025-01-02T15:45:00+02:00 Bucharest,555ppm
2025-01-02T15:58:00+02:00 Bucharest,578ppm
2025-01-02T16:00:00+02:00 Bucharest,578ppm
2025-01-02T16:07:59+02:00 Bucharest,584ppm
2025-01-02T16:15:00+02:00 Bucharest,584ppm
2025-01-02T16:17:59+02:00 Bucharest,597ppm
2025-01-02T16:30:00+02:00 Bucharest,597ppm
2025-01-02T16:37:59+02:00 Bucharest,606ppm
2025-01-02T16:45:00+02:00 Bucharest,606ppm
2025-01-02T16:47:59+02:00 Bucharest,609ppm
2025-01-02T16:57:58+02:00 Bucharest,614ppm
2025-01-02T17:00:00+02:00 Bucharest,614ppm
2025-01-02T17:15:00+02:00 Bucharest,614ppm
2025-01-02T17:27:58+02:00 Bucharest,643ppm
2025-01-02T17:30:00+02:00 Bucharest,643ppm
2025-01-02T17:37:58+02:00 Bucharest,649ppm
2025-01-02T17:45:00+02:00 Bucharest,649ppm
2025-01-02T17:47:58+02:00 Bucharest,656ppm
2025-01-02T18:00:00+02:00 Bucharest,656ppm
2025-01-02T18:07:57+02:00 Bucharest,659ppm
2025-01-02T18:15:00+02:00 Bucharest,659ppm
2025-01-02T18:17:57+02:00 Bucharest,661ppm
2025-01-02T18:30:00+02:00 Bucharest,661ppm
2025-01-02T18:37:57+02:00 Bucharest,665ppm
2025-01-02T18:45:00+02:00 Bucharest,665ppm
2025-01-02T19:00:00+02:00 Bucharest,665ppm
2025-01-02T19:15:00+02:00 Bucharest,665ppm
2025-01-02T19:17:56+02:00 Bucharest,674ppm
2025-01-02T19:30:00+02:00 Bucharest,674ppm
2025-01-02T19:37:56+02:00 Bucharest,683ppm
2025-01-02T19:45:00+02:00 Bucharest,683ppm
2025-01-02T19:47:55+02:00 Bucharest,686ppm
2025-01-02T19:57:55+02:00 Bucharest,689ppm
2025-01-02T20:00:00+02:00 Bucharest,689ppm
2025-01-02T20:15:00+02:00 Bucharest,689ppm
2025-01-02T20:17:55+02:00 Bucharest,698ppm
2025-01-02T20:27:55+02:00 Bucharest,703ppm
2025-01-02T20:30:00+02:00 Bucharest,703ppm
2025-01-02T20:45:00+02:00 Bucharest,703ppm
2025-01-02T20:57:54+02:00 Bucharest,721ppm
2025-01-02T21:00:00+02:00 Bucharest,721ppm
2025-01-02T21:07:54+02:00 Bucharest,728ppm
2025-01-02T21:15:00+02:00 Bucharest,728ppm
2025-01-02T21:27:54+02:00 Bucharest,750ppm
2025-01-02T21:30:00+02:00 Bucharest,750ppm
2025-01-02T21:45:00+02:00 Bucharest,750ppm
2025-01-02T21:47:53+02:00 Bucharest,776ppm
2025-01-02T22:00:00+02:00 Bucharest,776ppm
2025-01-02T22:15:00+02:00 Bucharest,776ppm
2025-01-02T22:17:53+02:00 Bucharest,779ppm
2025-01-02T22:30:00+02:00 Bucharest,779ppm
2025-01-02T22:45:00+02:00 Bucharest,779ppm
2025-01-02T22:47:53+02:00 Bucharest,776ppm
2025-01-02T22:57:52+02:00 Bucharest,774ppm
2025-01-02T23:00:00+02:00 Bucharest,774ppm
2025-01-02T23:15:00+02:00 Bucharest,774ppm
2025-01-02T23:17:52+02:00 Bucharest,751ppm
2025-01-02T23:27:52+02:00 Bucharest,726ppm
2025-01-02T23:30:00+02:00 Bucharest,726ppm
2025-01-02T23:37:53+02:00 Bucharest,692ppm
2025-01-02T23:45:00+02:00 Bucharest,692ppm
2025-01-03T00:00:00+02:00 Bucharest,692ppm
2025-01-03T00:07:51+02:00 Bucharest,641ppm
2025-01-03T00:15:00+02:00 Bucharest,641ppm
2025-01-03T00:17:51+02:00 Bucharest,622ppm
2025-01-03T00:30:00+02:00 Bucharest,622ppm
2025-01-03T00:45:00+02:00 Bucharest,622ppm
2025-01-03T01:00:00+02:00 Bucharest,622ppm
2025-01-03T01:15:00+02:00 Bucharest,622ppm
2025-01-03T01:17:50+02:00 Bucharest,557ppm
2025-01-03T01:30:00+02:00 Bucharest,557ppm
2025-01-03T01:37:49+02:00 Bucharest,551ppm
2025-01-03T01:45:00+02:00 Bucharest,551ppm
2025-01-03T02:00:00+02:00 Bucharest,551ppm
2025-01-03T02:07:49+02:00 Bucharest,527ppm
2025-01-03T02:15:00+02:00 Bucharest,527ppm
2025-01-03T02:17:49+02:00 Bucharest,524ppm
2025-01-03T02:27:48+02:00 Bucharest,518ppm
2025-01-03T02:30:00+02:00 Bucharest,518ppm
2025-01-03T02:37:48+02:00 Bucharest,510ppm
2025-01-03T02:45:00+02:00 Bucharest,510ppm
2025-01-03T02:47:48+02:00 Bucharest,506ppm
2025-01-03T03:00:00+02:00 Bucharest,506ppm
2025-01-03T03:07:55+02:00 Bucharest,492ppm
2025-01-03T03:15:00+02:00 Bucharest,492ppm
2025-01-03T03:17:48+02:00 Bucharest,489ppm
2025-01-03T03:30:00+02:00 Bucharest,489ppm
2025-01-03T03:37:47+02:00 Bucharest,477ppm
2025-01-03T03:45:00+02:00 Bucharest,477ppm
2025-01-03T03:47:47+02:00 Bucharest,475ppm
2025-01-03T04:00:00+02:00 Bucharest,475ppm
2025-01-03T04:15:00+02:00 Bucharest,475ppm
2025-01-03T04:27:46+02:00 Bucharest,477ppm
2025-01-03T04:30:00+02:00 Bucharest,477ppm
2025-01-03T04:45:00+02:00 Bucharest,477ppm
2025-01-03T05:00:00+02:00 Bucharest,477ppm
2025-01-03T05:07:46+02:00 Bucharest,476ppm
2025-01-03T05:15:00+02:00 Bucharest,476ppm
2025-01-03T05:17:45+02:00 Bucharest,477ppm
2025-01-03T05:30:00+02:00 Bucharest,477ppm
2025-01-03T05:37:45+02:00 Bucharest,475ppm
2025-01-03T05:45:00+02:00 Bucharest,475ppm
2025-01-03T05:47:47+02:00 Bucharest,476ppm
2025-01-03T05:57:45+02:00 Bucharest,475ppm
2025-01-03T06:00:00+02:00 Bucharest,475ppm
2025-01-03T06:15:00+02:00 Bucharest,475ppm
2025-01-03T06:30:00+02:00 Bucharest,475ppm
2025-01-03T06:45:00+02:00 Bucharest,475ppm
2025-01-03T06:57:44+02:00 Bucharest,436ppm
2025-01-03T07:00:00+02:00 Bucharest,436ppm
2025-01-03T07:15:00+02:00 Bucharest,436ppm
