ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-22T21:29:28.198Z hisSize:98251 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b84-7f20b3bf "Site B Room 1 Office" lorawanPoint maxVal:5 his minVal:1 id:@p:linkEdge:r:2d9972a1-f09bb340 "Site B Room 1 Office AQ TVOC" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T03:00:00+02:00 Bucharest innLinkEdge kind:"Number" unit:"ppb" amSensorAM319ModelId:"_amSensorAM319_point:tvoc" sensor cur amSensorRef:@p:linkEdge:r:2d9972a1-07d784a7 "Site B Room 1 Office AQ" curStatus:"ok" point curVal:185ppb disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9972a1-53363459 "1 Office AQ" navName:"TVOC" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9972a1-07d784a7 "Site B Room 1 Office AQ" airQuality hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:1 lorawanCur:"tvoc" floorRef:@p:linkEdge:r:2d996b5e-526d9983 "p:linkEdge:r:2d996b5e-526d9983"
2025-01-02T08:45:00+02:00 Bucharest,256ppb
2025-01-02T08:51:45+02:00 Bucharest,289ppb
2025-01-02T09:00:00+02:00 Bucharest,289ppb
2025-01-02T09:01:45+02:00 Bucharest,298ppb
2025-01-02T09:11:45+02:00 Bucharest,306ppb
2025-01-02T09:15:00+02:00 Bucharest,306ppb
2025-01-02T09:21:45+02:00 Bucharest,312ppb
2025-01-02T09:30:00+02:00 Bucharest,312ppb
2025-01-02T09:36:45+02:00 Bucharest,296ppb
2025-01-02T09:41:45+02:00 Bucharest,290ppb
2025-01-02T09:45:00+02:00 Bucharest,290ppb
2025-01-02T10:00:00+02:00 Bucharest,290ppb
2025-01-02T10:01:45+02:00 Bucharest,297ppb
2025-01-02T10:15:00+02:00 Bucharest,297ppb
2025-01-02T10:30:00+02:00 Bucharest,297ppb
2025-01-02T10:31:45+02:00 Bucharest,290ppb
2025-01-02T10:45:00+02:00 Bucharest,290ppb
2025-01-02T10:51:45+02:00 Bucharest,282ppb
2025-01-02T11:00:00+02:00 Bucharest,282ppb
2025-01-02T11:01:45+02:00 Bucharest,317ppb
2025-01-02T11:11:45+02:00 Bucharest,355ppb
2025-01-02T11:15:00+02:00 Bucharest,355ppb
2025-01-02T11:30:00+02:00 Bucharest,355ppb
2025-01-02T11:31:45+02:00 Bucharest,360ppb
2025-01-02T11:36:45+02:00 Bucharest,353ppb
2025-01-02T11:45:00+02:00 Bucharest,353ppb
2025-01-02T11:46:45+02:00 Bucharest,343ppb
2025-01-02T12:00:00+02:00 Bucharest,343ppb
2025-01-02T12:01:45+02:00 Bucharest,319ppb
2025-01-02T12:11:45+02:00 Bucharest,307ppb
2025-01-02T12:15:00+02:00 Bucharest,307ppb
2025-01-02T12:30:00+02:00 Bucharest,307ppb
2025-01-02T12:36:45+02:00 Bucharest,268ppb
2025-01-02T12:45:00+02:00 Bucharest,268ppb
2025-01-02T12:46:45+02:00 Bucharest,260ppb
2025-01-02T12:56:45+02:00 Bucharest,252ppb
2025-01-02T13:00:00+02:00 Bucharest,252ppb
